,index,Unnamed: 0,folder,dialogueID,date,from1,chatter,cycle,text,Label
20,36,36,301,1.tsv,2004-11-28T11:40:00.000Z,stuNNed,chatter1,,so just wait a day for sed error to be fixed and don't `apt-get upgrade` at this time?,
21,38,38,301,1.tsv,2004-11-28T11:45:00.000Z,stuNNed,chatter1,,"got it, thanks",
22,39,39,301,1.tsv,2004-11-28T11:46:00.000Z,stuNNed,chatter1,,"LOL, CRASH! :D",
23,42,42,301,1.tsv,2004-12-18T11:17:00.000Z,stuNNed,chatter1,,0 but i did install hsf deb early on then upgraded to hoary,
24,43,43,301,1.tsv,2004-12-18T11:17:00.000Z,stuNNed,chatter1,,and yes dell laptop sorry,
25,45,45,301,1.tsv,2004-12-18T11:18:00.000Z,stuNNed,chatter1,,roger,
26,46,46,301,1.tsv,2004-12-18T11:19:00.000Z,stuNNed,chatter1,,only thing closely resembling is i8042 would that be it?,
27,48,48,301,1.tsv,2004-12-18T11:19:00.000Z,stuNNed,chatter1,,"ok, thanks! how to fix?",
28,50,50,301,1.tsv,2004-12-18T11:21:00.000Z,stuNNed,chatter1,,yes it is loaded,
29,51,51,301,1.tsv,2004-12-18T11:21:00.000Z,stuNNed,chatter1,,could be installing hsf from the get-go cause this?,
30,53,53,301,1.tsv,2004-12-18T11:22:00.000Z,stuNNed,chatter1,,hsf linuxant modem drivers,
31,56,56,301,1.tsv,2004-12-18T11:29:00.000Z,stuNNed,chatter1,,dell bios is usually pretty limited but looking into now thanks,
32,57,57,301,1.tsv,2004-12-18T11:39:00.000Z,stuNNed,chatter1,,indeed.  you are the man.  i disabled as much as possible in bios and not soundcard is assigned an irq is it?  wonder why all of a sudden this needed to be done?  maybe because modem driver was properly installed?,
33,60,60,301,1.tsv,2004-12-18T11:41:00.000Z,stuNNed,chatter1,,this bios has multiple issues actually :),
34,61,61,301,1.tsv,2004-12-18T11:41:00.000Z,stuNNed,chatter1,,can't get apm working with it and ubuntu and acpi support is iffy at this point,
35,62,62,301,1.tsv,2005-01-04T13:21:00.000Z,stuNNed,chatter1,,why is ssh only listening on tcp6?,
36,64,64,301,1.tsv,2005-01-04T13:22:00.000Z,stuNNed,chatter1,,"sorry, netstat -tupan says ssh is listening on 'tcp6' is that ipv6 only?",
37,66,66,301,1.tsv,2005-01-04T13:29:00.000Z,stuNNed,chatter1,,do you have openssh-server installed? if so can you real quick 'ssh localhost' let me know if it works? if you are running unstable...,
38,69,69,301,1.tsv,2005-01-07T17:38:00.000Z,stuNNed,chatter1,,roger that :),
39,71,71,301,1.tsv,2005-01-09T12:57:00.000Z,stuNNed,chatter1,,"can't get my usb mp3 player to fire up with gnomad2, it just hangs, and latest isn't in SID yet, which i need as it's a new player",
40,72,72,301,1.tsv,2005-01-09T13:00:00.000Z,stuNNed,chatter1,,what is the command to make a dep out of a source package?  'make dist' ?,
41,73,73,301,1.tsv,2005-01-09T13:00:00.000Z,stuNNed,chatter1,,dep/deb,
42,76,76,301,1.tsv,2005-01-09T13:02:00.000Z,stuNNed,chatter1,,libnjb,
43,77,77,301,1.tsv,2005-01-09T13:02:00.000Z,stuNNed,chatter1,,there is 'debian' subdir,
44,79,79,301,1.tsv,2005-01-10T07:42:00.000Z,stuNNed,chatter1,,um there is no xorg-devel ?,
45,81,81,301,1.tsv,2005-01-10T08:21:00.000Z,stuNNed,chatter1,,"like if two soundcards doesn't select the right one or something, i just remember having sound issues upon initial install of warty",
46,82,82,301,1.tsv,2005-01-10T08:23:00.000Z,stuNNed,chatter1,,"i gave my neighbor a bunch, he knows all the kids in town, and going to hand em out at school :D",
47,83,83,301,1.tsv,2005-01-10T08:23:00.000Z,stuNNed,chatter1,,but i think gave my neighbor too much going to take some back for school,
48,84,84,301,1.tsv,2005-01-23T09:53:00.000Z,stuNNed,chatter1,,"i'll fire up laptop and check, one sec",
49,85,85,301,1.tsv,2005-01-23T09:56:00.000Z,stuNNed,chatter1,,"yep, broken, sorry about that",
50,87,87,301,1.tsv,2005-01-23T10:29:00.000Z,stuNNed,chatter1,,"libarts0, libfrididi0, libggi2, libungif4g",
51,89,89,301,1.tsv,2005-01-23T10:32:00.000Z,stuNNed,chatter1,,"awesome, of course :)",
52,90,90,301,1.tsv,2005-01-23T10:32:00.000Z,stuNNed,chatter1,,attempting the downgrade as mentioned per the wiki,
53,92,92,301,1.tsv,2005-01-24T06:26:00.000Z,stuNNed,chatter1,,the downgrade seemed to work :D,
54,94,94,301,1.tsv,2005-01-27T12:50:00.000Z,stuNNed,chatter1,,"there are a few issues with gmplayer of that mplayer, /query ?",
55,96,96,301,1.tsv,2005-01-27T12:52:00.000Z,stuNNed,chatter1,,"yes, a few with gmplayer",
56,97,97,301,1.tsv,2005-01-27T12:52:00.000Z,stuNNed,chatter1,,"two, actually",
57,99,99,301,1.tsv,2005-01-27T12:55:00.000Z,stuNNed,chatter1,,"(1) when gmplayer starts the rotary (hourglass) hangs for a few seconds like it's waiting for something to initialize and (2) nevermind, and issue in my mplayer.conf :) and (3) might set the default xo=xv so that when 'f' key for fullscreen, image isn't centered in middle of screen but does take up full screen?  the first is the only real issue though.  let me run gmplayer in terminal",
58,100,100,301,1.tsv,2005-01-27T12:55:00.000Z,stuNNed,chatter1,,ok when i start gmplayer in terminal there is no hang,
59,101,101,301,1.tsv,2005-01-27T12:55:00.000Z,stuNNed,chatter1,,i don't use gmplayer really but...,
60,102,102,301,1.tsv,2005-01-27T12:55:00.000Z,stuNNed,chatter1,,only when i start it from menu,
61,106,106,301,1.tsv,2005-01-27T12:57:00.000Z,stuNNed,chatter1,,nevermind on (2) and (3) x11 is safer? nevermind on that one as well :),
62,109,109,301,1.tsv,2005-01-27T12:58:00.000Z,stuNNed,chatter1,,only probs can find then is when launched from menu entry,
63,110,110,301,1.tsv,2005-01-27T12:58:00.000Z,stuNNed,chatter1,,think it's safe to use hoary 2.6.10 kernel in warty?,
64,112,112,301,1.tsv,2005-01-27T13:02:00.000Z,stuNNed,chatter1,,"got it, thanks",
65,114,114,301,1.tsv,2005-01-28T12:32:00.000Z,stuNNed,chatter1,,know how redhat has ntsysv ncurses based app does ubuntu/debian have anything similar for handling init scripts?,
66,116,116,301,1.tsv,2005-01-28T12:34:00.000Z,stuNNed,chatter1,,fscking update-rc.d fscking giving me fscking headaches,
67,118,118,301,1.tsv,2005-01-29T13:06:00.000Z,stuNNed,chatter1,,"you're right, sorry about that, it's probably on my end as i did an downgrade from hoary to wary, thanks, anymore testing i can do let me know, i should have mentioned that beforehand, but it works!",
68,119,119,301,1.tsv,2005-01-29T13:09:00.000Z,stuNNed,chatter1,,how to fix the menu entry?  anything like delete ~/.gconf or?,
69,120,120,301,1.tsv,2005-02-04T11:49:00.000Z,stuNNed,chatter1,,know if when hoary ships fbsplash will be enabled and if so will default gnome-terminal background be the fbsplash image file?,
70,122,122,301,1.tsv,2005-02-04T11:50:00.000Z,stuNNed,chatter1,,ok thanks,
71,124,124,301,1.tsv,2005-02-10T06:35:00.000Z,stuNNed,chatter1,,can you dcc me /etc/Muttrc that ships with mutt?,
72,125,125,301,1.tsv,2005-02-18T17:01:00.000Z,stuNNed,chatter1,,"hi, i've ran a few apps under 'sudo -s' now things are messed up, is there any way to recover?",
73,127,127,301,1.tsv,2005-02-18T17:02:00.000Z,stuNNed,chatter1,,"guarddog, lokkit, firestarter, i think is all",
74,128,128,301,1.tsv,2005-02-18T17:03:00.000Z,stuNNed,chatter1,,now ls -l doesn't respond and gnome panels are messed up and nautilus can't start,
75,129,129,301,1.tsv,2005-02-18T17:04:00.000Z,stuNNed,chatter1,,or is there a link to unfsck? i.e. i know it was mentioned in k3b-setup,
76,132,132,301,1.tsv,2005-02-18T17:06:00.000Z,stuNNed,chatter1,,"i launched them under 'sudo -s' and configured them, or would there be another reason why ls -l /home/lance doesn't respond?",
77,133,133,301,1.tsv,2005-02-18T17:06:00.000Z,stuNNed,chatter1,,or gets hung?,
78,136,136,301,1.tsv,2005-02-18T17:06:00.000Z,stuNNed,chatter1,,sure doesn't,
79,137,137,301,1.tsv,2005-02-18T17:07:00.000Z,stuNNed,chatter1,,"let me try booting another kernel, brb",
80,138,138,301,1.tsv,2005-02-18T06:09:00.000Z,stuNNed,chatter1,,it was stupid firestarter and networked filesystems,
81,139,139,301,1.tsv,2005-02-22T11:55:00.000Z,stuNNed,chatter1,,how's array 4 working out?,
82,141,141,301,1.tsv,2005-02-24T13:15:00.000Z,stuNNed,chatter1,,thanks,
83,142,142,301,1.tsv,2005-02-25T08:14:00.000Z,stuNNed,chatter1,,"i *really* like the new update manager btw, much more intuitive and simpler than synaptic :)",
84,144,144,301,1.tsv,2005-02-28T11:15:00.000Z,stuNNed,chatter1,,"lol i did, why? :P",
85,145,145,301,1.tsv,2005-02-28T11:16:00.000Z,stuNNed,chatter1,,is aptitude safer to use than say apt-get dist-upgrade?,
86,147,147,301,1.tsv,2005-03-03T12:48:00.000Z,stuNNed,chatter1,,ever use openbox?,
87,149,149,301,1.tsv,2005-03-03T12:51:00.000Z,stuNNed,chatter1,,using metacity now?,
88,151,151,301,1.tsv,2005-03-03T12:52:00.000Z,stuNNed,chatter1,,on your ubuntu box i meant,
89,153,153,301,1.tsv,2005-03-13T06:35:00.000Z,stuNNed,chatter1,,know how with openssh it will not write ~/.ssh/known_hosts?,
90,155,155,301,1.tsv,2005-03-13T07:00:00.000Z,stuNNed,chatter1,,i.e. known_hosts doesn't get written when the server sends it's public key...,
91,157,157,301,1.tsv,2005-03-13T07:08:00.000Z,stuNNed,chatter1,,my problem is i have two computers behind the same domain name so i get a 'man in the middle attack' warning and no connect when switching between the two,
92,159,159,301,1.tsv,2005-03-13T07:14:00.000Z,stuNNed,chatter1,,"ssh to one computer name@domain different port, disconnect, ssh same_name@domain different port, the second time i  get warning and no connect",
93,161,161,301,1.tsv,2005-03-13T07:42:00.000Z,stuNNed,chatter1,,"i figured it out, thanks!!!",
94,162,162,301,1.tsv,2005-03-13T12:01:00.000Z,stuNNed,chatter1,,"hi, does ~/.gnome2 contain gconf variables?",
95,163,163,301,1.tsv,2005-03-14T06:34:00.000Z,stuNNed,chatter1,,muine is in universe afaik,
96,165,165,301,1.tsv,2005-03-14T06:35:00.000Z,stuNNed,chatter1,,"it's crashing often in hoary after running mp3gain on a large mp3 dir, should i file a bug?",
97,166,166,301,1.tsv,2005-03-14T06:35:00.000Z,stuNNed,chatter1,,i was asking if muine is in universie,
98,169,169,301,1.tsv,2005-03-14T06:36:00.000Z,stuNNed,chatter1,,do i need to copy anybody or defaults is good?,
99,171,171,301,1.tsv,2005-03-14T12:48:00.000Z,stuNNed,chatter1,,opened a bug regarding muine,
100,173,173,301,1.tsv,2005-03-14T12:49:00.000Z,stuNNed,chatter1,,7124,
101,174,174,301,1.tsv,2005-03-14T12:52:00.000Z,stuNNed,chatter1,,is it possible muine is having a buffer overflow due to libmuine.so.so not being able to be found?  why it's looking for that i have no clue.,
102,176,176,301,1.tsv,2005-03-14T12:53:00.000Z,stuNNed,chatter1,,"just a wild guess, how can i provide more debugging info?  gdb tells nothing.",
103,178,178,301,1.tsv,2005-03-14T12:54:00.000Z,stuNNed,chatter1,,"only thing i set was MONO_LOG_LEVEL=debug, what do you recommend setting it to? like 3?",
104,179,179,301,1.tsv,2005-03-14T12:54:00.000Z,stuNNed,chatter1,,export MONO_DEBUG=3 should work?,
105,180,180,301,1.tsv,2005-03-14T12:55:00.000Z,stuNNed,chatter1,,or 5 or something,
106,181,181,301,1.tsv,2005-03-14T12:55:00.000Z,stuNNed,chatter1,,if i go into gconf settings and change monitored folder to something else it pops back working,
107,182,182,301,1.tsv,2005-03-14T13:01:00.000Z,stuNNed,chatter1,,last line in debug is Mono-INFO: DllImport loading location: 'libglib-2.0.so.0'. then it segfaults.,
108,183,183,301,1.tsv,2005-03-14T13:05:00.000Z,stuNNed,chatter1,,"could be one particular mp3 on my end, i'll try to isolate a bit more",
109,184,184,301,1.tsv,2005-03-14T13:05:00.000Z,stuNNed,chatter1,,isolate *it* lol,
110,185,185,301,1.tsv,2005-03-22T11:30:00.000Z,stuNNed,chatter1,,how's it going mate?,
111,187,187,301,1.tsv,2005-03-22T11:32:00.000Z,stuNNed,chatter1,,"not bad, just watched a smoothwall install die on a 1000mb nic card and might be getting some work installing a linux server later on",
112,188,188,301,1.tsv,2005-03-22T11:32:00.000Z,stuNNed,chatter1,,"and *really* impressed with how ubuntu is coming along, minus the crap of a power management my laptop has",
113,189,189,301,1.tsv,2005-03-22T12:28:00.000Z,stuNNed,chatter1,,what should i use as cd burning app if i want to get rid of k3b?,
114,191,191,301,1.tsv,2005-03-22T12:39:00.000Z,stuNNed,chatter1,,can graveman do iso's or just rely on nautilus for that?,
115,192,192,301,1.tsv,2005-03-24T07:28:00.000Z,stuNNed,chatter1,,is there alsa cvs available in ubuntu?,
116,195,195,301,1.tsv,2005-03-24T07:29:00.000Z,stuNNed,chatter1,,"yes, my card just got 24-bit support but i have to patch against cvs to use it, i can wait i guess, would be nice though :)",
117,196,196,301,1.tsv,2005-03-24T07:43:00.000Z,stuNNed,chatter1,,on my laptop with Hoary if i 'dmesg|grep -i dsdt' it says initrd doesn't have a dsdt patch when on bugzilla it says it does...,
118,197,197,301,1.tsv,2005-03-24T07:48:00.000Z,stuNNed,chatter1,,any ideas on the dsdt or just comment on the closed bug?,
119,199,199,301,1.tsv,2005-03-24T07:50:00.000Z,stuNNed,chatter1,,https://bugzilla.ubuntu.com/show_bug.cgi?id=3379,
120,201,201,301,1.tsv,2005-03-24T07:57:00.000Z,stuNNed,chatter1,,ok thanks,
121,204,204,301,1.tsv,2005-04-08T11:34:00.000Z,stuNNed,chatter1,,driver module,
122,207,207,301,1.tsv,2005-04-08T11:35:00.000Z,stuNNed,chatter1,,how can i get experimental?,
123,208,208,301,1.tsv,2005-04-08T11:37:00.000Z,stuNNed,chatter1,,?,
124,210,210,301,1.tsv,2005-04-08T11:39:00.000Z,stuNNed,chatter1,,can i make .debs from alsa-driver package?,
125,213,213,301,1.tsv,2005-04-08T11:40:00.000Z,stuNNed,chatter1,,ok thanks,
126,214,214,301,1.tsv,2005-04-08T11:40:00.000Z,stuNNed,chatter1,,which contains the .ko file?,
127,215,215,301,1.tsv,2005-04-08T11:40:00.000Z,stuNNed,chatter1,,in regular hoary,
128,218,218,301,1.tsv,2005-04-08T11:41:00.000Z,stuNNed,chatter1,,k thnx,
129,219,219,301,1.tsv,2005-04-08T12:09:00.000Z,stuNNed,chatter1,,i know it's probably not a good idea but going to stick with alsa-driver stable for now self compiled p16v support in 1.0.9rc2 seem broken,
130,222,222,301,1.tsv,2005-04-08T12:12:00.000Z,stuNNed,chatter1,,no 24bit support for audigy2,
131,223,223,301,1.tsv,2005-04-08T12:12:00.000Z,stuNNed,chatter1,,"ah, so i need the libs as well? doh",
132,224,224,301,1.tsv,2005-04-08T12:36:00.000Z,stuNNed,chatter1,,still broken it seems,
133,227,227,301,1.tsv,2005-04-08T12:38:00.000Z,stuNNed,chatter1,,"p16v support for audigy2, eys",
134,228,228,301,1.tsv,2005-04-08T12:38:00.000Z,stuNNed,chatter1,,regular pcm works fine,
135,230,230,301,1.tsv,2005-04-08T12:39:00.000Z,stuNNed,chatter1,,nope. just tried rc2,
136,231,231,301,1.tsv,2005-04-08T12:40:00.000Z,stuNNed,chatter1,,"it's not high priority really, i've submitted a big to gnome's bugzilla regarding gstreamer and custom sink to enable p16v but reckon should wait until at least it makes it into stable before following up on bug?",
137,232,232,301,1.tsv,2005-04-08T12:41:00.000Z,stuNNed,chatter1,,p16v support in alsa for audigy2 that is (wait until stable),
138,234,234,301,1.tsv,2005-04-08T12:44:00.000Z,stuNNed,chatter1,,as the custom sink is broken in gst and works in xine?,
139,236,236,301,1.tsv,2005-04-08T12:46:00.000Z,stuNNed,chatter1,,"and broken it is in rc2 heh, i'll help jcdutton if i can",
140,237,237,301,1.tsv,2005-04-09T16:02:00.000Z,stuNNed,chatter1,,"hi, how's it going? do you know how to load a custom dsdt in initrd?",
141,238,238,301,1.tsv,2005-04-09T16:02:00.000Z,stuNNed,chatter1,,in hoary...,
142,239,239,301,1.tsv,2005-04-20T13:31:00.000Z,stuNNed,chatter1,,why did they remove the ndiswrapper page?,
143,242,242,301,1.tsv,2005-04-28T13:38:00.000Z,stuNNed,chatter1,,i messed it up somehow is there a way to reset?  when i run dhclient it doesn't write the nameservers,
144,243,243,301,1.tsv,2005-04-28T13:38:00.000Z,stuNNed,chatter1,,i was helping troubleshoot the wireless network at school and installed pump and other junk,
145,244,244,301,1.tsv,2005-04-28T13:41:00.000Z,stuNNed,chatter1,,how to fix my /etc/resolv.conf so that it writes nameservers when using dhclint? :(,
146,246,246,301,1.tsv,2005-04-28T13:43:00.000Z,stuNNed,chatter1,,yes,
147,247,247,301,1.tsv,2005-04-28T13:43:00.000Z,stuNNed,chatter1,,i am invoking dhclient manually,
148,250,250,301,1.tsv,2005-04-28T13:44:00.000Z,stuNNed,chatter1,,what is that?,
149,252,252,301,1.tsv,2005-04-28T13:44:00.000Z,stuNNed,chatter1,,ok,
150,253,253,301,1.tsv,2005-05-04T14:49:00.000Z,stuNNed,chatter1,,hi,
151,255,255,301,1.tsv,2005-05-12T14:09:00.000Z,stuNNed,chatter1,,what to do after 'apt-get install alsa-source' to install 1.0.8 driver?,
152,256,256,301,1.tsv,2005-05-12T14:25:00.000Z,stuNNed,chatter1,,"figured it out lol, thanks to linkage",
153,258,258,301,1.tsv,2005-05-12T14:26:00.000Z,stuNNed,chatter1,,um was using emu10k1 (oss) there for a bit then to ubuntu stock now 1.0.8,
154,259,259,301,1.tsv,2005-05-12T14:26:00.000Z,stuNNed,chatter1,,i couldn't get it to compile with cvscompile,
155,261,261,301,1.tsv,2005-05-12T14:27:00.000Z,stuNNed,chatter1,,"think i tried at one point, was using 1.0.9rc1",
156,262,262,301,1.tsv,2005-05-12T14:27:00.000Z,stuNNed,chatter1,,it's a shame actually emu10k1(oss) is a decent driver,
157,264,264,301,1.tsv,2005-05-12T14:28:00.000Z,stuNNed,chatter1,,ah,
158,265,265,301,1.tsv,2005-05-13T10:33:00.000Z,stuNNed,chatter1,,why when i save something to the desktop it doesn't show up?,
159,267,267,301,1.tsv,2005-05-16T06:59:00.000Z,stuNNed,chatter1,,"hi, is it normal behaviour that is i save something to the Desktop folder it doesn't show up on the desktop unless i refresh that folder in Nautilus?",
160,269,269,301,1.tsv,2005-05-16T07:00:00.000Z,stuNNed,chatter1,,which do you use?,
161,271,271,301,1.tsv,2005-05-16T07:01:00.000Z,stuNNed,chatter1,,so any previous uses dnotify?,
162,273,273,301,1.tsv,2005-05-16T07:04:00.000Z,stuNNed,chatter1,,"odd, using gtk's file save dialogue 90% of the time if i save a file to teh Desktop it doesn't show up unless i refresh in Nautilus",
163,275,275,301,1.tsv,2005-05-16T07:05:00.000Z,stuNNed,chatter1,,"oh, how to get rid of them?  this is an upgrade from Warty...",
164,277,277,301,1.tsv,2005-05-16T07:05:00.000Z,stuNNed,chatter1,,can i go back to fam or is that a bad idea as well?,
165,278,278,301,1.tsv,2005-05-16T07:06:00.000Z,stuNNed,chatter1,,is a shame i'll just have to refresh nautilus to see what's on desktop w/out killing nautilus,
166,280,280,301,1.tsv,2005-05-16T07:06:00.000Z,stuNNed,chatter1,,"ok then, dangit",
167,281,281,301,1.tsv,2005-05-16T07:07:00.000Z,stuNNed,chatter1,,"should i file a bug, upgrade to breezy, or just wait?",
168,283,283,301,1.tsv,2005-05-16T07:07:00.000Z,stuNNed,chatter1,,"ok, dangit",
169,284,284,301,1.tsv,2005-06-04T08:20:00.000Z,stuNNed,chatter1,,ping,
170,286,286,301,1.tsv,2005-06-04T09:15:00.000Z,stuNNed,chatter1,,"remember we were talking about setting up two soundcards?  there is person in #creative could use some help with that, if you have a minute.",
171,288,288,301,1.tsv,2005-06-04T09:16:00.000Z,stuNNed,chatter1,,"right now oss but maybe alsa later, could you join please?",
172,290,290,301,1.tsv,2005-06-04T09:17:00.000Z,stuNNed,chatter1,,"got it, thanks",
173,292,292,301,1.tsv,2005-11-17T07:25:00.000Z,stuNNed,chatter1,,can't install captive with it?,
174,294,294,301,1.tsv,2005-11-17T07:26:00.000Z,stuNNed,chatter1,,ok thanks,
175,295,295,301,1.tsv,2005-11-17T07:39:00.000Z,stuNNed,chatter1,,is captive part of ubuntu or do i need to add a repo or just install a .deb?,
176,297,297,301,1.tsv,2005-11-17T07:40:00.000Z,stuNNed,chatter1,,thanks,
177,298,298,301,1.tsv,2005-11-17T08:11:00.000Z,stuNNed,chatter1,,"i found a repo for captive, should i still install from source?",
178,300,300,301,1.tsv,2005-11-17T08:13:00.000Z,stuNNed,chatter1,1.0,ok i'll go with the source!,
179,301,301,60,402.tsv,2008-12-02T05:10:00.000Z,adub,chatter1,0.0,is it ok to add a repository that is intrepid to hardy?,
180,305,305,60,402.tsv,2008-12-02T05:12:00.000Z,adub,chatter1,,zoneminder 1.23.3,
181,306,306,60,402.tsv,2008-12-02T05:14:00.000Z,adub,chatter1,,do you have any recommendations,
182,312,312,60,402.tsv,2008-12-02T05:32:00.000Z,adub,chatter1,,your good i keep gettin,5
183,319,319,60,402.tsv,2008-12-02T05:35:00.000Z,adub,chatter1,,ok ill follow your lead updating sources.list starting now,
184,330,330,60,402.tsv,2008-12-02T05:45:00.000Z,adub,chatter1,,im sure you right lemme double check,
185,345,345,60,402.tsv,2008-12-02T05:53:00.000Z,adub,chatter1,,do you have a hardy build,
186,347,347,60,402.tsv,2008-12-02T05:53:00.000Z,adub,chatter1,,ok,
187,351,351,60,402.tsv,2008-12-02T05:55:00.000Z,adub,chatter1,,thanks for helping i run that one command inside the zoneminder direcotry right,
188,355,355,60,402.tsv,2008-12-02T05:58:00.000Z,adub,chatter1,,ya im glad b/c the old version is buggy,
189,357,357,60,402.tsv,2008-12-02T05:59:00.000Z,adub,chatter1,,it is still compiling this is on a somewhat slower box,
190,360,360,60,402.tsv,2008-12-02T06:05:00.000Z,adub,chatter1,1.0,dern,
191,361,361,60,166.tsv,2008-11-30T08:27:00.000Z,ubuntunoo,chatter1,0.0,ok,
192,362,362,60,166.tsv,2008-11-30T08:28:00.000Z,ubuntunoo,chatter1,,o ok,
193,363,363,60,166.tsv,2008-11-30T08:29:00.000Z,ubuntunoo,chatter1,,ok,
194,364,364,60,166.tsv,2008-11-30T08:30:00.000Z,ubuntunoo,chatter1,,i tied using livecd but that doenst work,2
195,365,365,60,166.tsv,2008-11-30T08:30:00.000Z,ubuntunoo,chatter1,,so ima re-install it using wubi since i just uninstalled it,
196,366,366,60,166.tsv,2008-11-30T08:30:00.000Z,ubuntunoo,chatter1,,nope,
197,367,367,60,166.tsv,2008-11-30T08:30:00.000Z,ubuntunoo,chatter1,,i made the cd i mean but instead i just get a black screen,
198,368,368,60,166.tsv,2008-11-30T08:31:00.000Z,ubuntunoo,chatter1,,i hear some music like the bongos,
199,369,369,60,166.tsv,2008-11-30T08:31:00.000Z,ubuntunoo,chatter1,,after that im done,
200,370,370,60,166.tsv,2008-11-30T08:31:00.000Z,ubuntunoo,chatter1,,"ok with the live cd u mean the three options demo installition , installtion, and more about ubuntu",
201,374,374,60,166.tsv,2008-11-30T08:37:00.000Z,ubuntunoo,chatter1,,"ok good i put the cd in and i get three otoptins which are demo and full installtion, install inside windows, and learn more",
202,375,375,60,166.tsv,2008-11-30T08:37:00.000Z,ubuntunoo,chatter1,,which 1 to chose?,
203,376,376,60,166.tsv,2008-11-30T08:38:00.000Z,ubuntunoo,chatter1,,im still on my orignal Os windows ep,
204,378,378,60,166.tsv,2008-11-30T08:39:00.000Z,ubuntunoo,chatter1,,"im just worried if ubunto doesnt work, then im screwed right?",
205,382,382,60,166.tsv,2008-11-30T08:43:00.000Z,ubuntunoo,chatter1,,a loading screen with a organge bar going back and forth like a game of ping,
206,384,384,60,166.tsv,2008-11-30T08:45:00.000Z,ubuntunoo,chatter1,,"ok well a peachish background came up, the sound of bongos played, then the screen just went black",
207,386,386,60,166.tsv,2008-11-30T08:45:00.000Z,ubuntunoo,chatter1,,before the backgroudn loaded it said something like timedout....,
208,389,389,60,166.tsv,2008-11-30T08:48:00.000Z,ubuntunoo,chatter1,,"should i use wubi, get to login screen then go to terminal mode and put some commands in",
209,392,392,60,166.tsv,2008-11-30T08:49:00.000Z,ubuntunoo,chatter1,,"wubi i used first, installed that no icons on destop, uninstalled using wubi once again",
210,393,393,60,166.tsv,2008-11-30T08:49:00.000Z,ubuntunoo,chatter1,,yes i sitll get a menu,
211,395,395,60,166.tsv,2008-11-30T08:50:00.000Z,ubuntunoo,chatter1,,lemme try,
212,397,397,60,166.tsv,2008-11-30T08:53:00.000Z,ubuntunoo,chatter1,,ok i will try,
213,398,398,60,166.tsv,2008-11-30T08:56:00.000Z,ubuntunoo,chatter1,,just to be certain whats the rite way to unstinall ubuntu to make sure i did it right?,
214,404,404,60,166.tsv,2008-11-30T09:02:00.000Z,ubuntunoo,chatter1,,the livecd from which i burend using the iso image,
215,421,421,60,425.tsv,2005-10-20T10:06:00.000Z,DShepherd,chatter1,0.0,k,
